Requirement ID,Test ID,Test Description,Status
VHS-REQ-620,TEST-UNIT-HOSTEXEC-001,Process spawn uses executable from command facts,pending
VHS-REQ-620,TEST-UNIT-HOSTEXEC-002,Process spawn passes arguments from command facts,pending
VHS-REQ-621,TEST-UNIT-HOSTEXEC-003,Execution captures stdout in outcome facts,pending
VHS-REQ-621,TEST-UNIT-HOSTEXEC-004,Execution captures stderr in outcome facts,pending
VHS-REQ-622,TEST-UNIT-HOSTEXEC-005,Execution captures exit code in outcome facts,pending
VHS-REQ-622,TEST-UNIT-HOSTEXEC-006,Exit code 0 maps to success status,pending
VHS-REQ-622,TEST-UNIT-HOSTEXEC-007,Non-zero exit code maps to failure status,pending
VHS-REQ-623,TEST-UNIT-HOSTEXEC-008,Default timeout is 300000ms,pending
VHS-REQ-623,TEST-UNIT-HOSTEXEC-009,Custom timeout is respected,pending
VHS-REQ-624,TEST-UNIT-HOSTEXEC-010,Timeout triggers process termination,pending
VHS-REQ-624,TEST-UNIT-HOSTEXEC-011,Timeout returns partial output in outcome,pending
VHS-REQ-625,TEST-UNIT-HOSTEXEC-012,Private paths are redacted in stdout,pending
VHS-REQ-625,TEST-UNIT-HOSTEXEC-013,Private paths are redacted in stderr,pending
VHS-REQ-620,TEST-INT-HOSTEXEC-001,End-to-end LabVIEWCLI execution produces HTML report,pending
VHS-REQ-622,TEST-INT-HOSTEXEC-002,Integration test verifies exit code 0 on success,pending
